ID;Animal;Halsband Nummer klein;Halsband Nummer gross;Ohr-marken Nummer;VHF-Frequenz;Drop-off Number;Sex;Name;Fang Datum&Zeit;Start Manipulation;Ende Manipulation;Manipulation;Freilassung Datum&Zeit;Halsband weg Datum&Zeit;Tage am Sender;Bemerkung;Falle;Schuss Betäubung;Zeit Tier liegt;Betäubung;Dosierung Zoletil (mg/kg);Lochnummer;Halsumfang;Gewicht;Hinterlauf;Kondition;Battery Pack;Halsband Gewicht ;Rotte;Alter Monate;Bemerkungen;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;WS095;13970;6;95;148.640;05223;m;Roli;22.04.2016 22:30;23.04.2016 01:40;23.04.2016 01:55;00:15:00;23.04.2016 01:55;12.09.2016 xx:xx;;drop-off;Heubeeriholz;;;nein;;5;53;43;27.5;1.56;2D;832;allein;12;erlegt am  19.11.2016 in Würenlingen Koordinaten: 660 500 / 266 300 Gewicht 65kg (voll/leer?), keine Spuren am Hals;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;WS096;13976;12;96;148.780;05225;f;Renja;23.04.2016 21:20;24.04.2016 00:27;24.04.2016 00:45;00:18:00;24.04.2016 00:45;12.09.2016 xx:xx;;drop-off;Immoos;;;nein;;3;48;26;24.2;1.07;2D;;allein;<12;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;WS097;12272;1;97;148.100;05227;m;Donar;18.05.2016 21:25;18.05.2016 22:55;18.05.2016 23:10;00:15:00;18.05.2016 23:10;15.09.2016 xx:xx;;drop-off;Lindenhof;;;nein;;2;60;55;27.2;2.02;3D;1000;allein;<12;ruhig, Temp. 39.2;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;WS098/003;13974;;98;148.740;05492;f;Joanna;21.05.2016 00:41;21.05.2016 01:35;21.05.2016 02:00;00:25:00;21.05.2016 02:00;;;wiederfang;Fritzenburg;;;nein;;6;53;48;27.5;1.75;2D;800;1 adult, 3 gestreifte;>24;WS003 Tochter von Sabine WS002 Eine Ohrmarke links: zwei neue Ohrmarken Nr.98 rot;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;WS101;12273;3;101;148.120;05491;f;Olivia;31.05.2016 03:12;31.05.2016 07:00;31.05.2016 07:07;00:07:00;31.05.2016 07:07;30.09.2016 xx:xx;;drop-off;Heubeeriholz;;;nein;;4;51;27.2;25;1.09;2D;800;4 rothaarige;>12;2 Abgänge;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;WS107;12843;15;107;148.380;03910;m;Stefan;02.07.2016 03:53;02.07.2016 06:00;02.07.2016 06:17;00:17:00;02.07.2016 06:17;11.08.2016 00:00;39.74;erlegt;Stockacher;;;nein;;5;68;66;29.5;2.24;3D;1000;alein;>24;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;WS109/004;12274;;04/109;148.140;05493;f;Gaby_2;22.08.2016 21:23;22.08.2016 22:35;22.08.2016 23:00;00:25:00;22.08.2016 23:00;;;drop-off;Fritzenburg;;;nein;;5;54;46;27.7;1.66;2D;800;1adult, 2 gestreifte;>24;genau vor 2 Jahren als Frischling WS003 gefangen zusammen mit Sabine (Mutter) und Joanna (Schwester);;;;;;;;;;;;;;;;;;;;;;;;;;;
45;WS117/79;12842;14;79/117;148.340;03892;m;Donar;24.11.2016 00:01;24.11.2016 01:40;24.11.2016 02:05;00:25:00;24.11.2016 02:05;;;drop-off;Fritzenburg;;;nein;;6;68;98;31.2;3.14;3D;1000;allein;>24;schon am 18.05.2016n besendert, am 15.09.2016 Halsband gelöst;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;W118;13971;7;118;148.660;05916;f;Wilma_2;22.12.2016 19:27;22.12.2016 21:10;22.12.2016 21:25;00:15:00;22.12.2016 21:25;26.05.2017 05:00;154.32;drop-off;Fritzenburg;;;nein;;7;69;64;28.5;2.25;3D;1000;allein;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stand_2017-08-31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mehrmals gefangen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aktuell am Sender;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
